Number, Message, Solution, deduplicationKeys
03001, 'Trying to map ${profile} to ${code}  but ${otherProfile} was previously mapped to it', 'Unknown', 'errorNumber'
03002, 'Choice has equivalent types  so choice options may overwrite or override each other when mapped to FHIR.', 'Unknown', 'errorNumber'
03003, 'Overriding extensible value set constraint from ${vs1} to ${vs2}. Only allowed when new codes do not overlap meaning of old codes.', 'Unknown', 'errorNumber'
03004, 'Element profiled on Basic. Consider a more specific mapping.', 'The Basic profile should not be used in most cases. Consider a more specific profile mapping that categorizes the Element being mapped.', 'errorNumber'
03005, 'No mapping to '${elementPath}'. This property is core to the target resource and usually should be mapped.', 'Unknown', 'errorNumber'
03006, 'The ${property} property is not bound to a value set  fixed to a code  or fixed to a quantity unit. This property is core to the target resource and usually should be constrained ', 'Unknown', 'errorNumber'
03007, 'Exporting FHIR using target: ${target}',,
03008, 'Unmapped fields in [ ${elements} ]:\n${fields}', 'Map fields to FHIR properties or to extensions', 'errorNumber'
03009, 'Profile Indicators JSON: ${profileIndicators}',,
03010, 'Start mapping element',,
03011, 'Done mapping element',,
03012, 'Start mapping rule',,
03013, 'Done mapping rule',,
03014, 'Nested include types are currently not supported when applied to extensions', 'Unknown', 'errorNumber'
03015, 'Start mapping extension',,
03016, 'Done mapping extension',,
03017, 'Deep path mapped to extension URL, but extension placed at root level.',,
03018, 'Abstract Class: The \'${property}\' property is not bound to a value set or fixed to a code. This property is core to the target resource and usually should be constrained.', 'Constrain the property if possible', 'errorNumber'
03019, 'Start creating extension',,
03020, 'Done creating extension',,
03021, 'HL7 IGs require a package-list.json file.  A starter version has been written to ${packageListFile}. For more information on package files, see: http://wiki.hl7.org/index.php?title=FHIR_IG_PackageList_doco', 'Edit the packageListFile', 'errorNumber'
03022, 'WARNING: Overwriting generated profile with patch: ${patchFile}',,
03023, 'Start exporting element logical model',,
03024, 'Done exporting element logical model',,
03025, 'Setting 'no profile' for ${target} in mapping file is deprecated and should done in content profile instead', 'Unknown', 'errorNumber'
13001, 'Invalid FHIR target: ${target1}', 'Unknown', 'errorNumber'
13002, 'Cannot flag path as mapped', 'Unknown', 'errorNumber'
13003, 'Splicing on include type constraints with paths is not supported', 'Unknown', 'errorNumber'
13004, 'Slicing required to disambiguate multiple mappings to ${target1}', 'Unknown', 'errorNumber'
13005, 'Invalid source path ', 'Unknown', 'errorNumber'
13006, 'Invalid or unsupported target path', 'Unknown', 'errorNumber'
13007, 'Cannot unroll contentReference ${contentReference} on ${element1} because it is not a local reference', 'Unknown', 'errorNumber'
